root	bucket	covered_tiers	inv_tier	prod	gloss_head	gloss_zipf	suggested_tier	matched_word	gloss
diskografi	obscure_root		tail	1	discography	3.03			discography
diskogurd	obscure_root		tail	1	juke	0.0			juke box
diskonigist	obscure_root		tail	1	publicist	3.07			publicist
diskontprocent	obscure_root		tail	1	bank	0.0			bank rate
diskoplat	obscure_root		tail	1	turntable	2.96			turntable
diskosegil	obscure_root		tail	1	buzz	0.0			buzz saw
diskospac	obscure_root		tail	1	disk	0.0			disk space
diskostak	obscure_root		tail	1	disk	0.0			disk stack
diskotek	obscure_root		tail	1		0.0			discothèque
diskoturnist	obscure_root		tail	1	disk	0.0			disk jockey
diskovendej	obscure_root		tail	1	record	0.0			record shop
diskplet	obscure_root		tail	1	disk	0.0			disk tray
diskrimin	obscure_root		extended	2	discriminate	3.51			to discriminate
diskriminaci	candidate_gap		extended	2	discriminatory	3.46	3		discriminatory
diskturnil	obscure_root		tail	1	disk	0.0			disk drive, disk unit, drive
diskunu	obscure_root		tail	1	disk	0.0			disk drive
diskut	covered_T1_3	1/2	core	8		0.0			to discuss
diskutgrup	obscure_root		tail	1	discussion	0.0			discussion group
diskutrond	obscure_root		tail	1	discussion	0.0			discussion circle
diskutservil	obscure_root		tail	1	discussion	0.0			discussion server
diskuttabul	obscure_root		tail	1	discussion	0.0			discussion board
diskĵoke	obscure_root		tail	1	disc	0.0			disc jockey
disleksi	obscure_root		extended	2	dyslexic	2.72			dyslexic
dismaŝiĝ	obscure_root		tail	1	ladder	4.03			to ladder
dismembrig	obscure_root		tail	1	dismember	2.38			to dismember, take apart, analyze
disnodiĝ	obscure_root		tail	1	coming	0.0			the coming undone of a knot
disoci	obscure_root		tail	1	dissociate	2.46			to dissociate
disonanc	obscure_root		tail	1	dissonance	3.02			dissonance
dispartig	obscure_root		tail	1	partition	3.67			to partition
dispensari	shade_mismatch		tail	1	dispensary	3.09		public	dispensary, public dispensary, welfare center
dispepsi	obscure_root		tail	1	dyspepsia	2.07			dyspepsia, indigestion
dispersiv	obscure_root		tail	1	dispersion	3.18			dispersion
dispne	obscure_root		tail	1	dyspnoea	1.56			dyspnoea, shortness of breath
dispon	shade_mismatch		core	7	absorb	3.81		disposal	to absorb, have at one’s disposal, dispose (of), have available
disponaĵnumer	obscure_root		tail	1	device	0.0			device ID
disponebl	obscure_root		core	5	available	5.28			available, disposable
disprozi	obscure_root		tail	1	dysprosium	1.66			dysprosium
disreviĝ	obscure_root		tail	1	disappointment	4.01			disappointment, disenchantment, disillusionment
dissemiĝ	shade_mismatch		extended	2	disseminate	3.03		scatter	to disseminate, propagate, scatter
