en_lemma	decision	note	eo_root_override	eo_word_override	source	reason	ts
playground	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
angel	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
gently	accept	(gentile)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
stir	accept	stir the sup (kirlu la supon)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
wander	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
nest	accept	(nesto)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
tightly	accept	hugged tightly			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
berry	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
tiger	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
sigh	accept	(suspiro)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
couch	accept	(sofo, divano, kanapo, kusejo)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
smelly	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
wipe	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
jealous	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
shore	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
selfish	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
wagon	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
ladder	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
paw	accept	(piedo)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
rocket	accept	(raketo)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
sleepy	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
thankful	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
glow	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
tag	accept	game of tag (etikedo)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
bench	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
clay	accept	play with clay (argilo)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
frustrate	accept	was frustrated (estis frustrita)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
wag	accept	dag tail wagged (svingado)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
chew	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
brightly	accept	sun shined brightly			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
arrow	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
candle	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
messy	accept	room was messy			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
ruin	accept	ruin their celebration (ruinigi)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
frown	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
turkey	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
bald	accept	bald man			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
lick	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
stumble	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
accidentally	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
adventurous	accept	She was very adventurous and liked to explore (adventurema)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
crown	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
dolphin	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
lizard	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
maze	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
obedient	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
sneeze	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
octopus	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
barber	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
dinosaur	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
dizzy	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
log	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
pirate	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
hive	accept	several meanings: It was shaped differently than his hive and it had some interesting patterns painted on it; A honeybee was living inside the hive and was very happy.The little bee had a home called a hive.			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
soar	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
violin	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
cherry	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
pillow	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
delicate	accept	Several meanings: noticed a delicate little box (delikatan); He especially enjoyed listening and learning about the delicate way of life. 			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
exclaim	accept	Excited, he exclaimed out loud			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
sunshine	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
superhero	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
angrily	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
apologise	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
astonish	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
bakery	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
belonging	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
bleed	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
bog	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
bookmark	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
braver	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
bubbly	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
bud	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
builder	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
bushy	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
caution	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
chatter	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
cheetah	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
chilly	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
clover	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
clutch	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
compass	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
compliment	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
confusion	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
cord	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
cosy	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
cowboy	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
crunch	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
disappointment	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
dodge	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
dreammaker	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
embarrassment	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
energetic	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
flop	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
foal	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
fondly	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
foreshadow	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
gator	postpone				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
