en_lemma	base_word	total_freq	band	final_eo_root	final_eo_word	eo_gloss	gloss_source	anchor_source	tier_basis	proposed_tier	review_flag	note
rosemary	rosemary	1	P6_tail	rosmaren	rosmareno	rosemary	espdic	worksheet-proposed	inventory	2	rare-anchor	
roughly	roughly	1	P6_tail	aspr	aspre	roughly, harshly	espdic	worksheet-proposed	inventory	2	rare-anchor	
rowboat	rowboat	1	P6_tail	remboat	remboato	rowboat	espdic	worksheet-proposed	inventory	2		
rubbish	rubbish	1	P6_tail	rub	rubo	debris, rubbish, rubble, garbage, trash, junk	espdic	worksheet-proposed	inventory	2		
rudely	rudely	1	P6_tail	malĝentil	malĝentile	impolitely, rudely	espdic	worksheet-proposed	inventory	2		
rung	rung	1	P6_tail	ŝtup	ŝtupo	stair, step, rung	espdic	worksheet-proposed	inventory	2		
rust	rust	1	P6_tail	rust	rusti	to rust	espdic	worksheet-proposed	inventory	2		
salon	salon	1	P6_tail	salon	salono	drawing room, living room, parlor, salon, sitting room	espdic	worksheet-proposed	inventory	2		
sandal	sandal	1	P6_tail	sandal	sandalo	sandal	espdic	worksheet-proposed	inventory	2	rare-anchor	
sap	sap	1	P6_tail	suk	suko	gravy, juice, sap, pith	espdic	worksheet-proposed	inventory	2		
saunter	saunter	1	P6_tail	malrapidir	malrapidiri	to saunter	espdic	worksheet-proposed	inventory	2	rare-anchor	
