decision	flag	fold	en_word	anchor_root	all_roots	eo_word	eo_pos	proposed_tier	gloss_zipf	inv_tier	prod	gloss	note
	common	standalone	evacuate	evaku	evaku	evakui	VERB	3	3.53	extended	2	to evacuate	
	common	standalone	interfering	interfer	interfer	interfera	ADJ	3	3.53	extended	2	interfering	
	common	standalone	maneuver	manovr	manovr	manovri	VERB	3	3.53	extended	2	to maneuver	
	common	standalone	mono	mono	mono	monoo	NOUN	3	3.53	extended	2	mono	
	common	standalone	semiconductor	duonkonduk	duonkonduk	duonkonduko	NOUN	3	3.53	core	3	semiconductor	
	common	standalone	ballroom	balsalon	balsalon	balsalono	NOUN	3	3.52	extended	2	ballroom	
	common	derived_adj	bilingual	dulingv	dulingv	dulingva	ADJ	3	3.52	core	3	bilingual	derived adjective — confirm noun anchor / eo_word
	common	standalone	civilized	civiliz	civiliz	civiliza	ADJ	3	3.52	core	5	civilized	
	common	standalone	dew	ros	ros	roso	NOUN	3	3.52	extended	2	dew	
	common	standalone	erect	erekt	erekt,vertikal	erekti	VERB	3	3.52	extended	2	to erect	2 roots collapsed: erekt, vertikal
	common	standalone	brandy	brand	brand	brando	NOUN	3	3.51	extended	2	brandy	
	common	standalone	outlaw	proskripci	proskripci	proskripcii	VERB	3	3.51	extended	2	to outlaw, proscribe	
	common	derived_adj	speculative	konjekt	konjekt	konjekta	ADJ	3	3.51	extended	2	speculative	derived adjective — confirm noun anchor / eo_word
	common	standalone	barge	barĝ	barĝ	barĝo	NOUN	3	3.5	core	3	barge	
	common	derived_adj	bridal	fianĉin	fianĉin	fianĉina	ADJ	3	3.5	core	3	bridal	derived adjective — confirm noun anchor / eo_word
	common	standalone	correlated	korelativ	korelativ	korelativa	ADJ	3	3.5	core	3	correlated, correlative	
	common	standalone	crippled	kripl	kripl	kripla	ADJ	3	3.5	core	4	crippled, infirm, handicapped	
	common	standalone	diocese	eparki	eparki,episkopland	eparkio	NOUN	3	3.5	extended	2	diocese	2 roots collapsed: eparki, episkopland
	common	derived_adj	preventive	prevent	prevent	preventa	ADJ	3	3.5	core	4	preventive	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	synonymous	sinonim	sinonim	sinonima	ADJ	3	3.5	extended	2	synonymous	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	botanical	botanik	botanik	botanika	ADJ	3	3.49	extended	2	botanical	derived adjective — confirm noun anchor / eo_word
	common	standalone	braces	ŝelk	ŝelk	ŝelko	NOUN	3	3.49	extended	2	braces, suspenders	
	common	standalone	elk	alk	alk	alko	NOUN	3	3.49	core	5	elk, moose	
	common	standalone	fingerprint	fingroprem	fingroprem	fingropremo	NOUN	3	3.49	extended	2	fingerprint	
	common	derived_adj	hereditary	hered	hered	hereda	ADJ	3	3.49	core	9	hereditary	derived adjective — confirm noun anchor / eo_word
	common	standalone	abolish	abol	abol,abolici	aboli	VERB	3	3.48	core	5	to abolish, abrogate	2 roots collapsed: abol, abolici
	common	derived_adj	ballistic	balistik	balistik	balistika	ADJ	3	3.48	extended	2	ballistic	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	hysterical	histeri	histeri	histeria	ADJ	3	3.48	core	3	hysterical	derived adjective — confirm noun anchor / eo_word
